cell_type_l1,cell_type_l2,cell_type_l3,cell_type_l4
B,Memory_B,Atypical_Bm,Atypical_Bm_ITGAX
B,Memory_B,Switched_Bm,Switched_Bm_IGHDneg
B,Memory_B,Switched_Bm,Switched_Bm_IGHE
B,Memory_B,Switched_Bm,Switched_activated_Bm_CD86
B,Memory_B,Unswitched_Bm,Unswitched_Bm_CD1C
B,Memory_B,Unswitched_Bm,Unswitched_Bm_IL6
B,Memory_B,pre-Switched_Bm,pre-Switched_Bm_IFIT3
B,Memory_B,pre-Switched_Bm,pre-Switched_Bm_JAM3
B,Naive_B,Bn,Bn_IFIT3
B,Naive_B,Bn,Bn_TCL1A
B,Total_Plasma,Plasma,Plasma_IGHA1
B,Total_Plasma,Plasma,Plasma_IGHG1
B,Total_Plasma,Plasmablast,Plasmablast_MKI67
B,Transitional_B,Transitional_B,Transitional_B_MME
CD4_T,CD4_CTL,CD4_CTL,CD4_CTL_GZMH
CD4_T,CD4_Memory,CD4_Tcm,CD4_Tcm_CXCR5
CD4_T,CD4_Memory,CD4_Tcm,CD4_Tcm_IFI44L
CD4_T,CD4_Memory,CD4_Tem,CD4_Tem_CCR5
CD4_T,CD4_Memory,CD4_Tem,CD4_Tem_CCR7neg
CD4_T,CD4_Naive,CD4_Tn,CD4_Tn_CCR7
CD4_T,CD4_helper,CD4_helper,CD4_Tfh-like_CXCR5
CD4_T,CD4_helper,CD4_helper,CD4_Th1-like_GZMK
CD4_T,CD4_helper,CD4_helper,CD4_Th17-like_RORC
CD4_T,CD4_helper,CD4_helper,CD4_Th22-like_CCR10
CD4_T,CD4_helper,CD4_helper,CD4_Th_CCR4
CD4_T,CD4_helper,CD4_helper,CD4_Th_LMNA
CD4_T,CD4_helper,CD4_helper,CD4_Th_TNFRSF11A
CD4_T,CD4_regulatory,CD4_Tr1,CD4_Tr1_IL10
CD4_T,CD4_regulatory,CD4_Treg,CD4_Treg_FCRL3
CD4_T,CD4_regulatory,CD4_Treg,CD4_Treg_FOXP3
CD8_T&unconvensional_T,CD8_CTL,CD8_CTL,CD8_CTL_GZMB
CD8_T&unconvensional_T,CD8_CTL,CD8_CTL,CD8_CTL_GZMK
CD8_T&unconvensional_T,CD8_CTL,CD8_CTL,CD8_CTL_IFI44L
CD8_T&unconvensional_T,CD8_Memory,CD8_Tcm,CD8_Tcm_IFI44L
CD8_T&unconvensional_T,CD8_Memory,CD8_Tem,CD8_Tem_CCR7neg
CD8_T&unconvensional_T,CD8_Naive,CD8_Tn,CD8_Tn_CCR7
CD8_T&unconvensional_T,MAIT,MAIT,MAIT_SLC4A10
CD8_T&unconvensional_T,NKT,NKT,NKT_IFNG
CD8_T&unconvensional_T,NKT,NKT,NKT_NCR1
CD8_T&unconvensional_T,Proliferative_T,Proliferative_T,Proliferative_T_MKI67
CD8_T&unconvensional_T,gdT,gdT1,gdT1_TRDV1
CD8_T&unconvensional_T,gdT,gdT2,gdT2_GZMH
CD8_T&unconvensional_T,gdT,gdT2,gdT2_GZMK
CD8_T&unconvensional_T,gdT,gdT2,gdT2_IL12RB2
ILC,CD56_bright_NK,CD56_bright_NK,NK_bright_XCL1
ILC,CD56_dim_NK,Mature_NK,Mature_NK_dim_FCGR3A
ILC,CD56_dim_NK,Terminal_NK,Terminal_NK_dim_CD160neg
ILC,ILC2,ILC2,ILC2_IL2RA
ILC,Proliferative_NK,Proliferative_NK,Proliferative_NK_MKI67
ILC,Transitional_NK,Transitional_NK,Transitional_NK_GZMK
Myeloid,DC,DC,DC1_CLEC9A
Myeloid,DC,DC,DC2_CD1C
Myeloid,DC,DC,DC_CSF2RA
Myeloid,HSPC,HSPC,HSPC_CD34
Myeloid,MK,MK,MK_GP9
Myeloid,Mono,cMono,cMono_CD14
Myeloid,Mono,cMono,cMono_CXCL10
Myeloid,Mono,cMono,cMono_IFI44L
Myeloid,Mono,cMono,cMono_IL1B
Myeloid,Mono,intMono,intMono_GFRA2
Myeloid,Mono,ncMono,ncMono_C1QA
Myeloid,Mono,ncMono,ncMono_FCGR3A
Myeloid,Mono,ncMono,ncMono_IFIT1
Myeloid,pDC,pDC,AS_DC
Myeloid,pDC,pDC,pDC_IRF4
