cell_type_l2	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31
pDC	0.006575022816331223	0.0017067242422834355	0.0001884319877545428	0.0005664142914216892	-0.00020781677560760255	0.0005893524338849533	-0.00035303150704291673	-0.0006816559979473302	0.00019191775783680993	-0.00011762910545706651	-0.00018398358836331125	-0.00028664651076159496	0.000453222693098696	-0.00014596176121597465	-0.0004849374881937462	-0.00020177946951333584	-0.0002946454710197949	-9.65618353622404e-05	9.796083280709293e-05	0.00043313836046990947	-0.00026448627512979875	0.00012194207126276451	-9.321588094485825e-05	-0.00028309908112684004	-0.0001597523523318685	3.0136544156364283e-05	0.00013089072885886656	-0.0002224790201376849	-0.00025273292863727556	-0.0002458851656296902	-9.907566976349916e-05
Memory_B	0.009630959783332525	0.002822217310077139	-0.0008104697060050799	0.0022947122224192622	-0.000643887911480003	-0.0003158974288814118	-0.00024359741606785903	0.0002956864366097856	-6.793119161607394e-05	-1.3066070695892288e-05	-0.00015395576147427488	-1.767009732469725e-05	-3.965432059200751e-05	-5.145094114086117e-05	9.851010289544012e-07	2.5703316580334556e-05	-7.73388226381354e-06	-4.910618871291427e-05	-3.7474559911256696e-05	-5.534431990587317e-06	1.1505605597551111e-05	5.388259279248658e-06	-1.0251260621213926e-05	7.967022569604653e-05	0.0001054002417756449	-2.1353874405431295e-06	-1.9950437936852432e-05	4.2005434797048336e-05	7.253294859142077e-05	3.2184369302338536e-05	4.2772308659239616e-05
Naive_B	0.01005327522401826	0.003041560959318606	-0.0010304139858947924	0.0020024584142876796	-0.0010773568139782566	-0.0007062956141076016	4.670134106029362e-05	-0.00015399054125009691	9.66377949684477e-05	1.7075108196998326e-05	0.00021012832497997006	1.8762349169648803e-05	-4.19286379750817e-05	0.00017832326469229527	0.00013399219294345355	2.2752024966503923e-05	0.00015056899317419538	0.00019535306140162272	3.555680470605648e-05	-0.0001036900754709817	5.3693828440927176e-05	-5.9522940663089085e-05	6.6551761180716245e-06	-5.8353116999499575e-05	-0.00014373579838469704	-3.0380484850160208e-05	-2.1382140088403463e-05	8.473130198732643e-05	-2.0414655794047726e-05	-4.120337959369669e-06	-3.733174710057593e-05
CD4_CTL	0.011748871475801101	-0.001839478492838479	0.0018018162176540314	0.00022760859871149558	-8.175102162574497e-05	-0.00021816663337146026	-0.0010763656396372927	0.00047376372656993755	0.00011035379338946569	-0.00013964545003751844	-0.00047530521188296276	-0.00016728326545146257	7.388959614992142e-05	-2.6914723279519763e-05	-0.00012370717262179056	6.970180608232863e-05	-0.0001323400231079562	5.343293837787357e-05	8.823109258686052e-06	3.9638977586345285e-05	7.926204005841083e-06	9.668950882947223e-05	6.933889272328759e-06	-9.733624589637561e-05	-1.826876571139919e-05	-2.5818779836499994e-05	-4.787865348390367e-05	6.744927283193254e-05	-0.00012001401189122072	8.800461014918569e-05	3.392543352437082e-05
CD4_Memory	0.011466211110451147	-0.0012160067229315392	-0.0015971199046220215	-0.0005693333209028582	-0.00022233890147643553	0.0004525038226923413	-0.00027441184713888103	-0.00010092322026407965	0.00010577052328090188	0.00024223817946832015	-0.00015338697684932703	6.624299722907486e-05	-6.751834271671875e-05	-3.986311381780991e-05	2.5057128329049858e-05	-3.199010088472929e-05	-8.538224033879154e-06	-2.9602588995772384e-05	7.138906818584858e-06	-7.643013061014392e-06	-3.387173385496498e-05	-2.1169015353119245e-05	-1.4824565838615687e-05	6.738617239704925e-06	6.095385845215751e-05	-3.82161446756702e-06	-6.394228773520876e-06	-8.78261017189207e-06	-4.269611661387735e-06	2.2333550440066104e-05	4.778574356601774e-05
CD4_helper	0.011797973842634847	-0.0014065620223967193	-0.0012754609209961049	-0.0004907372298758376	-0.00015080803730475393	0.0008171591222771361	0.00012214907337373173	0.000638162075280485	-4.4347319841843254e-06	-0.0001132391610126794	-0.00019543052949837054	-0.00013150035483439852	4.3041311784506406e-05	1.2415835930536977e-05	-6.729613610683952e-05	-5.752995760800319e-05	-0.00011076985433121235	-5.285479283664851e-05	5.882073766696684e-05	9.726053845688941e-05	-8.970717537071066e-05	-3.7330217914375235e-05	3.1921756658034796e-06	-4.0463423812991776e-05	-5.669450483275375e-05	-1.847021068514812e-05	7.053121970897803e-05	6.822305450896365e-05	2.1143418044669337e-05	-7.748979238636693e-05	8.317724724817176e-06
CD4_Naive	0.011619742717683037	-0.000947638537442716	-0.002427507982487865	-0.00032824513359750563	0.0011343975511550939	0.0003238307145701309	-2.4633792491751855e-06	-0.0013185756157643976	0.00040801417785871273	-1.4404617174768958e-06	9.229540517289171e-05	-6.875570580687459e-05	-3.62144404882108e-05	8.925621321069189e-05	0.00010621864479763121	1.0220769807078656e-05	0.00020990323454219594	0.00011765239507032838	2.4721969004020764e-05	3.900466190306911e-06	0.000215500857367454	-6.889485107976087e-05	-1.0644870367795085e-05	3.1310833953626266e-05	1.892499786842469e-05	-5.085907469992584e-06	-0.00017022129207819162	2.3083150190600705e-05	-0.00010835598929514595	3.8620189118183603e-05	6.24440505186602e-05
CD4_regulatory	0.011716324911791365	-0.001049161793504127	-0.001556980875368037	-0.00036459484765858	0.0004316061743475335	0.00024890533180934655	-0.0003613694755992089	0.0001530292254915753	-0.0004011377589272638	0.00010638161187849107	4.647902948900678e-05	0.0005178252679579481	-0.00013315923782718274	-0.00010493030497051678	0.00010379310650875181	5.961282114979339e-06	1.5268435473045834e-05	9.466711388167309e-06	-1.4157534254918561e-05	-7.378701693385002e-05	5.2874870177001184e-05	8.945782832594861e-05	-4.605043794387116e-06	-6.748278496130614e-05	9.286254285925978e-05	4.1496830868945094e-05	-1.6384860786305246e-05	2.0332070814099263e-06	6.025048174305282e-06	0.0001521634790316274	-1.397471871301763e-05
CD8_CTL	0.011632311711476918	-0.0015780754814378076	0.0008692776358308283	-0.00018843726116642682	-0.0007981004137492757	-0.00019418641478073312	-0.0005882624632571055	0.00015872394432071032	9.54963760929389e-05	-6.196855829245941e-05	-0.00011638819925273327	-0.00024305524604751886	-3.530385525617826e-05	-2.5825787991413088e-05	-4.4381060043633166e-05	9.514095773276626e-05	9.57612140000236e-05	2.8146666703006412e-05	-2.112344118301048e-05	-2.0601497279017418e-05	6.174622625159911e-05	3.85224628009652e-06	2.1914268567406338e-05	6.304561074988741e-05	3.299063397276118e-05	-5.834281897966446e-05	2.5996901712472817e-05	4.102377332210264e-05	-5.764315476419333e-05	3.435533130020731e-05	7.651625751777872e-05
CD8_Memory	0.011408952131417002	-0.0012947373928446507	-0.0005563993930118024	-0.00036464449805685814	-0.0007279020516460646	-0.0001064334330920034	-0.000267187974976165	-0.0007215652575182849	0.00011969189286345083	-1.3158190785730842e-05	0.00013208073967163728	-8.142427103046519e-05	-8.900669204524413e-05	-2.715947102690711e-07	7.704509390962825e-05	6.353703793790179e-05	0.0001333093320831339	1.9834175948130218e-05	-8.745617810568027e-05	-0.00012696985750850734	0.00010649225914163176	2.827165742807907e-05	3.747857027250105e-05	9.231866898439811e-06	4.374305693852791e-05	-8.3503872549519e-06	-3.432610558194151e-05	-7.261542776985107e-05	1.575664553079486e-05	1.48063697175227e-06	-8.417869983964832e-05
CD8_Naive	0.01151105790216761	-0.0011994951963950854	-0.0021020707989530805	-6.887207975046518e-05	0.0006472596995453823	0.0005792975273253789	0.00016674713096688116	-0.001744995215006494	0.0004095802532420066	-0.00010987848873626268	0.0004988849885860634	6.224613519806588e-05	-6.783615953317219e-05	1.715817154286212e-05	6.090820724040576e-05	3.354667154666152e-06	9.569883696798238e-05	0.00012214742907520976	-0.00022326732663532762	-8.041094954956366e-05	0.00018803424639272297	-0.00012105538992557466	-5.142640293144577e-05	5.3465881865491246e-05	-3.4457350477533164e-05	-2.1071800728598943e-06	-0.00011482041256504471	-1.7265473471824052e-05	-4.2978419722996756e-05	-4.633856467625343e-05	-7.29640777896283e-05
Proliferative_NK	0.012332573261625512	-0.000238248094325253	0.001809248385805271	-0.0002394725910575189	0.0013990984193175693	-0.0021256652911952785	0.0003654194602100447	-0.00019059399841990954	-0.0003316492015920165	0.00021628997712858935	4.222053951745401e-05	0.0003732623061366257	-1.4319013620368029e-05	0.00010476802734899268	3.059067015910181e-05	-1.1669444693267032e-05	-6.191886697236659e-05	-7.617170628267671e-05	0.0001231084529279076	-1.9731828332640816e-05	-2.8260204720606834e-05	1.2309984950200553e-05	9.121805425091657e-06	0.00015136933803194737	-0.0001186295092912985	-5.956339124803668e-05	8.136666792941382e-06	-9.185247419160695e-05	0.0003054974254478773	-0.0002107562036854156	-0.0001168117077199942
Proliferative_T	0.012493626907901454	-0.0005280919710225565	-0.001095600277358638	-0.001099413928314351	0.00019754966031805494	-0.0010730172334757365	-0.00047029770257495844	0.0008783151663612958	-0.0008179733196491733	0.0001006153138578015	0.000447601873024499	0.0005541140856116447	5.5566502146005064e-05	5.6198375795181445e-05	-1.520567112258915e-05	-7.033108202372635e-05	-0.0001208669934373565	4.615932476887787e-05	8.817392319108934e-05	-8.584657977129573e-05	-0.0001819247272709694	9.295961839842047e-05	7.557909126364801e-05	-8.510168505878177e-05	3.7072937876733226e-05	7.956910744053718e-05	-0.00011398823559143302	-0.00013621645561738693	0.00012229445109641422	0.00011445892224477558	4.0627863464788964e-05
