Chromosome,Start,End,peak_id
chr1,9928,10429,0
chr1,29162,29663,1
chr1,94644,95145,2
chr1,96339,96840,3
chr1,103936,104437,4
chr1,115481,115982,5
chr1,181247,181748,6
chr1,180627,181128,7
chr1,191597,192098,8
chr1,191070,191571,9
chr1,267753,268254,10
chr1,271055,271556,11
chr1,274159,274660,12
chr1,280464,280965,13
chr1,585948,586449,14
chr1,605331,605832,15
chr1,628997,629498,16
chr1,629700,630201,17
chr1,630257,630758,18
chr1,631290,631791,19
chr1,632818,633319,20
chr1,633771,634272,21
chr1,634475,634976,22
chr1,778491,778992,23
chr1,804682,805183,24
chr1,805228,805729,25
chr1,816088,816589,26
chr1,817106,817607,27
chr1,817806,818307,28
chr1,819558,820059,29
chr1,825194,825695,30
chr1,827286,827787,31
chr1,838270,838771,32
chr1,840530,841031,33
chr1,842062,842563,34
chr1,842622,843123,35
chr1,843415,843916,36
chr1,844407,844908,37
chr1,851325,851826,38
chr1,857904,858405,39
chr1,858534,859035,40
chr1,860791,861292,41
chr1,864909,865410,42
chr1,865547,866048,43
chr1,867495,867996,44
chr1,869638,870139,45
chr1,876398,876899,46
chr1,890628,891129,47
chr1,897197,897698,48
chr1,898630,899131,49
chr1,904444,904945,50
chr1,905046,905547,51
chr1,906674,907175,52
chr1,909967,910468,53
chr1,912775,913276,54
chr1,912081,912582,55
chr1,915381,915882,56
chr1,920973,921474,57
chr1,923636,924137,58
chr1,923107,923608,59
chr1,924612,925113,60
chr1,925404,925905,61
chr1,931699,932200,62
chr1,938038,938539,63
chr1,940170,940671,64
chr1,941524,942025,65
chr1,942379,942880,66
chr1,940698,941199,67
chr1,943048,943549,68
chr1,953378,953879,69
chr1,955302,955803,70
chr1,959083,959584,71
chr1,960324,960825,72
chr1,961141,961642,73
chr1,962295,962796,74
chr1,966749,967250,75
chr1,966218,966719,76
chr1,975234,975735,77
chr1,975960,976461,78
chr1,977941,978442,79
chr1,984081,984582,80
chr1,990375,990876,81
chr1,992355,992856,82
chr1,993281,993782,83
chr1,994705,995206,84
chr1,996022,996523,85
chr1,999114,999615,86
chr1,999918,1000419,87
chr1,1000639,1001140,88
chr1,1001741,1002242,89
chr1,1004939,1005440,90
chr1,1009113,1009614,91
chr1,1013248,1013749,92
chr1,1014849,1015350,93
chr1,1019251,1019752,94
chr1,1019894,1020395,95
chr1,1020998,1021499,96
chr1,1022557,1023058,97
chr1,1026064,1026565,98
chr1,1027041,1027542,99
chr1,1032969,1033470,100
chr1,1032358,1032859,101
chr1,1038674,1039175,102
chr1,1039461,1039962,103
chr1,1040597,1041098,104
chr1,1040075,1040576,105
chr1,1050592,1051093,106
chr1,1054573,1055074,107
chr1,1059412,1059913,108
chr1,1058591,1059092,109
chr1,1064104,1064605,110
chr1,1066884,1067385,111
chr1,1068549,1069050,112
chr1,1069102,1069603,113
chr1,1069794,1070295,114
chr1,1070340,1070841,115
chr1,1079645,1080146,116
chr1,1091560,1092061,117
chr1,1092816,1093317,118
chr1,1099117,1099618,119
chr1,1104089,1104590,120
chr1,1106267,1106768,121
chr1,1107858,1108359,122
chr1,1109632,1110133,123
chr1,1115997,1116498,124
chr1,1122031,1122532,125
chr1,1123093,1123594,126
chr1,1124178,1124679,127
chr1,1128676,1129177,128
chr1,1134490,1134991,129
chr1,1137225,1137726,130
chr1,1136418,1136919,131
chr1,1142798,1143299,132
chr1,1143978,1144479,133
chr1,1150041,1150542,134
chr1,1157314,1157815,135
chr1,1157845,1158346,136
chr1,1163983,1164484,137
chr1,1165851,1166352,138
chr1,1171693,1172194,139
chr1,1173615,1174116,140
chr1,1175033,1175534,141
chr1,1176103,1176604,142
chr1,1179255,1179756,143
chr1,1181375,1181876,144
chr1,1181999,1182500,145
chr1,1183200,1183701,146
chr1,1182696,1183197,147
chr1,1184891,1185392,148
chr1,1189036,1189537,149
chr1,1201336,1201837,150
chr1,1200816,1201317,151
chr1,1206507,1207008,152
chr1,1207933,1208434,153
chr1,1208838,1209339,154
chr1,1212721,1213222,155
chr1,1213378,1213879,156
chr1,1213880,1214381,157
chr1,1215042,1215543,158
chr1,1215773,1216274,159
chr1,1216995,1217496,160
chr1,1217859,1218360,161
chr1,1219274,1219775,162
chr1,1221799,1222300,163
chr1,1222440,1222941,164
chr1,1231283,1231784,165
chr1,1231827,1232328,166
chr1,1237958,1238459,167
chr1,1240760,1241261,168
chr1,1242138,1242639,169
chr1,1245168,1245669,170
chr1,1250851,1251352,171
chr1,1250134,1250635,172
chr1,1260085,1260586,173
chr1,1261105,1261606,174
chr1,1264945,1265446,175
chr1,1265640,1266141,176
chr1,1272842,1273343,177
chr1,1273648,1274149,178
chr1,1282030,1282531,179
chr1,1282850,1283351,180
chr1,1283737,1284238,181
chr1,1285520,1286021,182
chr1,1287807,1288308,183
chr1,1290099,1290600,184
chr1,1291766,1292267,185
chr1,1292682,1293183,186
chr1,1293787,1294288,187
chr1,1299022,1299523,188
chr1,1299948,1300449,189
chr1,1301892,1302393,190
chr1,1305498,1305999,191
chr1,1308156,1308657,192
chr1,1307381,1307882,193
chr1,1324476,1324977,194
chr1,1325032,1325533,195
chr1,1330999,1331500,196
chr1,1330245,1330746,197
chr1,1332370,1332871,198
chr1,1332956,1333457,199
chr1,1334775,1335276,200
chr1,1335687,1336188,201
chr1,1337667,1338168,202
chr1,1344739,1345240,203
chr1,1349162,1349663,204
chr1,1349666,1350167,205
chr1,1348324,1348825,206
chr1,1352776,1353277,207
chr1,1355339,1355840,208
chr1,1354598,1355099,209
chr1,1359217,1359718,210
chr1,1358400,1358901,211
chr1,1362147,1362648,212
chr1,1371365,1371866,213
chr1,1371895,1372396,214
chr1,1375148,1375649,215
chr1,1386946,1387447,216
chr1,1389685,1390186,217
chr1,1393365,1393866,218
chr1,1399226,1399727,219
chr1,1407073,1407574,220
chr1,1407589,1408090,221
chr1,1418542,1419043,222
chr1,1419909,1420410,223
chr1,1422763,1423264,224
chr1,1426556,1427057,225
chr1,1427349,1427850,226
chr1,1429058,1429559,227
chr1,1434160,1434661,228
chr1,1435380,1435881,229
chr1,1437953,1438454,230
chr1,1440820,1441321,231
chr1,1441506,1442007,232
chr1,1454133,1454634,233
chr1,1462226,1462727,234
chr1,1461678,1462179,235
chr1,1464140,1464641,236
chr1,1471461,1471962,237
chr1,1470943,1471444,238
chr1,1472029,1472530,239
chr1,1479242,1479743,240
chr1,1482514,1483015,241
chr1,1484546,1485047,242
chr1,1485773,1486274,243
chr1,1504887,1505388,244
chr1,1505455,1505956,245
chr1,1510846,1511347,246
chr1,1511839,1512340,247
chr1,1517848,1518349,248
chr1,1518570,1519071,249
chr1,1522490,1522991,250
chr1,1524421,1524922,251
chr1,1535837,1536338,252
chr1,1537462,1537963,253
chr1,1540385,1540886,254
chr1,1539397,1539898,255
chr1,1543424,1543925,256
chr1,1550908,1551409,257
chr1,1551766,1552267,258
chr1,1553788,1554289,259
chr1,1554767,1555268,260
chr1,1558076,1558577,261
chr1,1561991,1562492,262
chr1,1567349,1567850,263
chr1,1574667,1575168,264
chr1,1573753,1574254,265
chr1,1582996,1583497,266
chr1,1583571,1584072,267
chr1,1591418,1591919,268
chr1,1594613,1595114,269
chr1,1593963,1594464,270
chr1,1596041,1596542,271
chr1,1597213,1597714,272
chr1,1599516,1600017,273
chr1,1600368,1600869,274
chr1,1602561,1603062,275
chr1,1604989,1605490,276
chr1,1605901,1606402,277
chr1,1607039,1607540,278
chr1,1614200,1614701,279
chr1,1615158,1615659,280
chr1,1615961,1616462,281
chr1,1627381,1627882,282
chr1,1630169,1630670,283
chr1,1629634,1630135,284
